  SYNC    include/config/auto.conf.cmd
  HOSTCC  scripts/basic/fixdep
  CC      arch/x86/kernel/asm-offsets.s
  CC      kernel/sched/rq-offsets.s
  CALL    scripts/checksyscalls.sh
  DESCEND objtool
  INSTALL libsubcmd_headers
  CC      arch/x86/mm/fault.o
  CC      kernel/sys.o
  CC      mm/memory.o
  CC      mm/mmap.o
  CC      mm/migrate.o
  CC      mm/rmap.o
  CC      mm/swapfile.o
  CC      mm/gup.o
  CC      mm/oom_kill.o
  CC      mm/mempolicy.o
  CC      mm/mremap.o
  CC      mm/madvise.o
  CC      mm/mprotect.o
